MDS1_cor,MDS2_cor,attributes
-0.36009028618617056,-0.363953744606867,host_listings_count
-0.05944990877631533,0.344840455182766,accommodates
-0.013542015881952791,0.4640021457828886,bathrooms
0.14763262198437274,0.40300609157833883,bedrooms
-0.05870037222261294,0.3601820590301556,beds
-0.17596067316661723,0.4256782813917125,price
-0.1803774298303902,0.38550314028159177,weekly_price
-0.19049928474350442,0.3693380646168375,monthly_price
-0.3602543091937046,0.4282157988493672,cleaning_fee
-0.12719948616789048,0.31565511203135516,guests_included
-0.7586375009906531,-0.45175136589973386,minimum_nights
0.3873826180702469,-0.3319743983663611,maximum_nights
0.7180900493472606,-0.2972234266082116,number_of_reviews
0.09734162323153833,-0.8083956222039929,review_scores_rating
0.25163167662529434,-0.9532298542558791,review_scores_accuracy
0.6826326779010987,-0.2898927368039678,reviews_per_month
